Rank,Name,Industry,Ticker,Canton,Weighting in %
1,Nestlé SA,Food,NESN.SW,Vaud,19[1]
2,Roche Holding AG,Pharmacy,ROG.SW,Basel,17[1]
3,Novartis International AG,Pharmacy,NOVN.SW,Basel,17[1]
4,Compagnie Financière Richemont SA,Luxury Goods,CFR.SW,Geneva,7[1]
5,Zurich Insurance Group AG,Insurance,ZURN.SW,Zurich,6[1]
6,UBS Group AG,Banks,UBSG.SW,Zurich/Basel,5[1]
7,ABB Ltd,Electrical equipment,ABBN.SW,Zurich,4[1]
8,Lonza Group AG,Chemistry,LONN.SW,Basel,4[1]
9,Sika AG,Chemistry,SIKA.SW,Zug,3[1]
10,Alcon Inc,Pharmacy,ALC.SW,Fribourg,3[1]
11,Givaudan SA,Chemistry,GIVN.SW,Geneva,3
12,Holcim Limited,Building materials,HOLN.SW,St. Gallen,2
13,Swisscom AG,Telecommunications,SCMN.SW,Bern,2
14,Partners Group Holding AG,Private equity,PGHN.SW,Zug,2
15,Swiss Reinsurance Company Ltd,Insurance,SREN.SW,Zurich,2
16,Sonova,Medical devices,SOON.SW,Zurich,2
17,Geberit AG,Sanitary engineering,GEBN.SW,St. Gallen,2
18,Swiss Life Holding AG,Insurance,SLHN.SW,Zurich,1
19,Logitech International SA,Computer hardware and software,LOGN.SW,Vaud,1
20,Kuehne + Nagel,Logistics,KNIN.SW,Schwyz,1
