date,SREN,UBS,NOVN
2021-11-12,77.618309,15.735238,63.796165
2021-11-15,77.287575,15.735238,63.779427
2021-11-16,77.30497,15.848408,64.030525
2021-11-17,77.252754,15.975722,63.796165
2021-11-18,76.90461,15.697516,63.402779
2021-11-19,76.156105,15.315569,63.645508
2021-11-22,76.626099,15.447598,63.771061
2021-11-23,76.991646,15.362724,64.449028
2021-11-24,77.513855,15.579632,64.07238
2021-11-25,78.366806,15.6315,64.089111
2021-11-26,75.076866,14.726146,62.540665
2021-11-29,75.425011,14.858177,62.138905
2021-11-30,75.233528,15.032646,61.469311
2021-12-01,76.173508,15.24484,62.138905
2021-12-02,76.225739,15.339145,61.770622
2021-12-03,76.713135,15.22126,61.578114
2021-12-06,77.809784,15.494754,62.46534
2021-12-07,77.827187,15.711661,62.649471
2021-12-08,77.670525,15.6928,62.624371
2021-12-09,77.357193,15.617353,62.473705
2021-12-10,76.852394,15.537192,62.490448
2021-12-13,75.98204,15.480609,62.390007
2021-12-14,76.277954,15.447598,62.532295
2021-12-15,76.678314,15.310854,62.775032
2021-12-16,77.70533,15.607922,66.374123
2021-12-17,78.036072,15.225977,66.792633
2021-12-20,75.755745,14.8959,65.796593
2021-12-21,77.130905,15.2024,66.424347
2021-12-22,77.165718,15.249555,66.415985
2021-12-23,78.244965,15.494754,66.976776
2021-12-27,78.349403,15.579632,67.127419
2021-12-28,79.080498,15.655077,67.671478
2021-12-29,78.819389,15.5702,67.236237
2021-12-30,78.558289,15.485323,67.194389
2022-01-03,79.67234,15.683368,67.236237
2022-01-04,80.577515,16.070032,67.353424
2022-01-05,81.238983,16.173769,67.88073
2022-01-06,81.674156,16.352953,68.299232
2022-01-07,82.109337,16.767908,68.408043
2022-01-10,82.683769,16.767908,68.960464
2022-01-11,82.335625,16.80563,69.219925
2022-01-12,83.501907,16.852785,68.550331
2022-01-13,83.606346,16.9188,69.052528
2022-01-14,83.310425,16.800915,68.901871
2022-01-17,84.424477,16.956522,69.010681
2022-01-18,85.190392,16.739614,68.717728
2022-01-19,84.842255,16.654739,68.182053
2022-01-20,84.49411,16.673601,68.123466
2022-01-21,84.372261,16.494415,66.851219
2022-01-24,84.09375,15.721093,64.239777
2022-01-25,86.339264,15.966292,64.633163
2022-01-26,87.427208,16.357668,65.419945
2022-01-27,88.34108,16.235069,66.683815
2022-01-28,87.775352,15.971007,66.432716
2022-01-31,87.296661,16.126616,67.068832
2022-02-01,88.167015,17.423346,67.88073
2022-02-02,88.384598,17.729845,65.80497
2022-02-03,88.515152,17.758139,66.524796
2022-02-04,86.252228,17.626108,66.826111
2022-02-07,86.704819,17.923176,67.294823
2022-02-08,87.209618,18.201384,67.144165
2022-02-09,88.210526,18.597477,67.453865
2022-02-10,87.644791,18.625769,67.085571
2022-02-11,87.340172,18.493738,66.767525
2022-02-14,85.347061,17.979763,66.282059
2022-02-15,86.130379,18.083498,67.035362
2022-02-16,86.548149,17.847729,67.571045
2022-02-17,85.399284,17.673262,66.943291
2022-02-18,85.120773,17.588385,66.817741
2022-02-21,84.250412,17.135708,65.980736
2022-02-22,83.623756,16.994246,66.374123
2022-02-23,83.188583,16.800915,66.667068
2022-02-24,80.107521,15.419308,65.855186
2022-02-25,76.747948,16.385962,67.688217
2022-02-28,76.434616,15.923854,67.244606
2022-03-01,71.073235,15.103376,67.445496
2022-03-02,70.603233,15.174108,67.822144
2022-03-03,70.011398,14.740293,66.524796
2022-03-04,67.069588,13.712337,64.750343
2022-03-07,65.276657,13.4247,64.323479
2022-03-08,67.330704,13.990546,65.014771
2022-03-09,70.55101,14.792162,66.133759
2022-03-10,70.516205,14.584684,66.94677
2022-03-11,71.630264,14.877038,67.733551
2022-03-14,73.632072,15.197684,69.438255
2022-03-15,73.666885,15.103376,69.613091
2022-03-16,74.502426,16.055883,69.446991
2022-03-17,74.57206,16.103039,70.469818
2022-03-18,74.711311,16.239784,70.618431
2022-03-21,75.233528,16.451977,70.461082
2022-03-22,75.738335,16.819777,70.111389
2022-03-23,75.163902,16.720753,69.857872
2022-03-24,75.181305,16.753761,70.347427
2022-03-25,75.738335,16.881077,70.557236
2022-03-28,75.894997,16.796198,70.985596
2022-03-29,77.792366,17.263023,71.300316
2022-03-30,77.322372,16.99896,71.37899
2022-03-31,76.695724,17.112131,71.029312
2022-04-01,76.50425,17.178146,70.461082
2022-04-04,76.260544,17.366762,71.448929
2022-04-05,76.173508,16.673601,71.754898
2022-04-06,76.156105,16.319946,73.45961
2022-04-07,75.355385,16.112467,74.158974
2022-04-08,76.486839,16.414255,75.819969
2022-04-11,77.722748,16.4284,76.755371
2022-04-12,76.90461,16.321594,75.767509
2022-04-13,76.225739,16.15168,75.776253
2022-04-14,77.618309,16.200226,76.379456
2022-04-19,76.816765,16.331305,76.134674
2022-04-20,77.730148,16.588604,75.496513
2022-04-21,78.233437,16.472092,75.391602
2022-04-22,76.313477,16.214792,75.208015
2022-04-25,73.536072,15.768156,75.111862
2022-04-26,74.52401,15.78272,75.382858
2022-04-27,74.598572,16.214792,75.8899
2022-04-28,75.400108,16.098278,75.959839
2022-04-29,74.859535,16.229355,75.627632
2022-05-02,73.964798,15.889524,74.867081
2022-05-03,74.934097,16.462383,75.050667
2022-05-04,74.878174,16.544914,74.57859
2022-05-05,72.454933,16.438108,74.508652
2022-05-06,72.846382,16.408979,74.019096
2022-05-09,72.659981,15.88467,72.891373
2022-05-10,74.412163,16.14197,73.354706
2022-05-11,75.269623,16.472092,74.054062
2022-05-12,75.698349,16.297321,74.473686
2022-05-13,75.996597,16.729393,75.496513
2022-05-16,75.959312,16.535204,76.519333
2022-05-17,77.22686,16.913872,76.414429
2022-05-18,76.350761,16.787651,76.055992
2022-05-19,73.666557,16.554621,74.910789
